abarceo, abarcere, -, -	keep away;
admordeo, admordere, admordi, admorsus	bite at/into, gnaw; extract money from; fleece; get possession of their property
admoveo, admovere, admovi, admotus	move up, bring up/near; lean on, conduct; draw near, approach; apply, add;
adoleo, adolere, -, -	emit/give out a smell/odor;
adoleo, adolere, adolui, adolultus	worship, make/burn sacrifice/offerings; cremate; destroy/treat by fire/heat;
adpareo, adparere, adparui, adparitus	appear; be evident/visible/noticed/found; show up, occur; serve (w/DAT);
adparet, adparere, -, -	it is apparent/evident/clear/certain/visible/noticeable/found; it appears;
adpendeo, adpendere, adpendi, -	to be pending;
adpertineo, adpertinere, adpertinui, -	belong to, appertain to; (w/DAT or ad);
adrideo, adridere, adrisi, adrisus	smile at/upon; please, be pleasing/satisfactory (to); be/seem familiar (to);
adsideo, adsidere, adsedi, adsessus	sit by/in council/as assessor; watch over; camp near, besiege; resemble (w/DAT);
adsoleo, adsolere, -, -	be accustomed/in the habit of; be customary accompaniment, go with; be usual;
adsolet, adsolere, -, -	it is usual/wont; it is the custom/practice; it is the habit;
adstrideo, adstridere, -, -	hiss (at);
adstupeo, adstupere, -, -	be stunned/astounded/astonished/amazed (at); be enthralled (by) (w/DAT);
adtineo, adtinere, adtinui, adtentus	hold on/to/near/back/together/fast; restrain, keep (in custody), retain; delay;
adtondeo, adtondere, adtondi, adtonsus	clip (hair close), shear; strip of money, fleece; thrash; prune, trim, crop;
adtorqueo, adtorquere, adtorsi, adtortus	whirl at; hurl upwards;
adurgeo, adurgere, adursi, -	pursue; press hard, pursue closely;
aegreo, aegrere, -, -	be sick/ill;
aequivaleo, aequivalere, -, -	have equal power, be equivalent;
affleo, afflere, afflevi, affletus	weep/cry at; weep as an accompaniment;
affulgeo, affulgere, affulsi, -	shine forth, appear, dawn; shine/smile upon (w/favor), appear favorable;
aggaudeo, aggaudere, -, -	delight in; be delighted with;
albeo, albere, -, -	be/appear white/pale/light-colored/white with age;
algeo, algere, alsi, -	be/feel/become cold/chilly/cool; endure cold; be neglected/left in the cold;
alluceo, allucere, alluxi, -	shine upon; light (torch); show/give (opportunity/chance); give/supply light;
ammisceo, ammiscere, ammiscui, ammixtus	mix, mix together; involve; add an ingredient to; contaminate; confuse, mix up;
ammoneo, ammonere, ammonui, ammonitus	admonish, remind, prompt; suggest, advise, raise; persuade, urge; warn, caution;
ammordeo, ammordere, ammordi, ammorsus	bite at/into, gnaw; extract money from; fleece; get possession of his property;
ammoveo, ammovere, ammovi, ammotus	move up, bring up/near; lean on, conduct; draw near, approach; apply, add;
amoveo, amovere, amovi, amotus	move/take/put away, remove, steal; banish, cause to go away; withdraw, retire;
antehabeo, antehabere, antehabui, antehabitus	have previously; prefer;
antepolleo, antepollere, -, -	be stronger/more powerful than; surpass physically, excel;
appareo, apparere, apparui, apparitus	appear; be evident/visible/noticed/found; show up, occur; serve (w/DAT);
apparet, apparere, -, -	it is apparent/evident/clear/certain/visible/noticeable/found; it appears;
appendeo, appendere, appendi, -	to be pending;
appertineo, appertinere, appertinui, -	belong to, appertain to; (w/DAT or ad);
apsorbeo, apsorbere, apsorbui, apsorptus	devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;
apsorbeo, apsorbere, apsorpsi, apsorptus	devour; swallow up; engulf, submerge; engross; absorb, suck in; import; dry up;
apstergeo, apstergere, apstersi, apstersus	wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;
apsterreo, apsterrere, apsterrui, apsterritus	frighten off/away; drive away; deter, discourage; keep away/withhold from, den;
apstineo, apstinere, apstinui, apstentus	withhold, keep away/clear; abstain, fast; refrain (from); avoid; keep hands of;
arceo, arcere, arcui, -	ward/keep off/away; keep close, confine; prevent, hinder; protect; separate;
ardeo, ardere, arsi, arsus	be on fire; burn, blaze; flash; glow, sparkle; rage; be in a turmoil/love;
areo, arere, arui, -	be dry/parched; be thirsty; be withered (plants/animals, from lack of water);
arrideo, arridere, arrisi, arrisus	smile at/upon; please, be pleasing/satisfactory (to); be/seem familiar (to);
assideo, assidere, assedi, assessus	sit by/in council/as assessor; watch over; camp near, besiege; resemble (w/DAT);
assoleo, assolere, -, -	be accustomed/in the habit of; be customary accompaniment, go with; be usual;
assolet, assolere, -, -	it is usual/wont; it is the custom/practice; it is the habit;
astrideo, astridere, -, -	hiss (at);
astupeo, astupere, -, -	be stunned/astounded/astonished/amazed (at); be enthralled (by) (w/DAT);
attineo, attinere, attinui, attentus	hold on/to/near/back/together/fast; restrain, keep (in custody), retain; delay;
attondeo, attondere, attondi, attonsus	clip (hair close), shear; strip of money, fleece; thrash; prune, trim, crop;
attorqueo, attorquere, -, -	whirl at; hurl upwards;
attorreo, attorrere, -, -	bake, roast;
auceo, aucere, aucui, aucitus	observe attentively;
audeo, audere, ausus sum	intend, be prepared; dare/have courage (to go/do), act boldly, venture, risk;
augeo, augere, auxi, auctus	increase, enlarge, augment; spread; honor, promote, raise; exalt; make a lot of;
aveo, avere, -, -	hail; fare/be well; (IMP/INF; greeting/leaving);[ ~ jubeo => I send greetings];
aveo, avere, -, -	|be eager or anxious; desire, wish for, long after, crave;
beneplaceo, beneplacere, beneplacui, beneplacitus	please; be pleasing to;
caleo, calere, calui, -	be/feel/be kept warm; be hot with passion/inflamed/active/driven hotly/urged;
calleo, callere, callui, -	be calloused/hardened; grow hard; be experienced/skilled, understand; know how;
calveo, calvere, -, -	be bald/hairless;
candeo, candere, candui, -	be of brilliant whiteness, shine, gleam (white); become/be hot; glow, sparkle;
caneo, canere, canui, -	be/become covered in white; be hoary, be white/gray (with age);
careo, carere, carui, caritus	be without/absent from/devoid of/free from; miss; abstain from, lack, lose;
caveo, cavere, cavi, cautus	beware, avoid, take precautions/defensive action; give/get surety; stipulate;
censeo, censere, censui, censitus	think/suppose, judge; recommend; decree, vote, determine; count/reckon; assess;
censeo, censere, censui, census	think/suppose, judge; recommend; decree, vote, determine; count/reckon; assess;
ceveo, cevere, cevi, -	move haunches in a lewd or effeminate manner, practice such behavior; fawn;
cieo, ciere, civi, citus	move, set in motion; excite/rouse/stir up; urge on; summon/muster/call up;
cieo, ciere, civi, citus	|disturb, shake; provoke (war); invoke, call on by name; cite; raise/produce;
circumdoleo, circumdolere, circumdolui, circumdolitus	suffer on every side;
circumfulgeo, circumfulgere, circumfulsi, -	shine/glow round about;
circumjaceo, circumjacere, -, -	lie near/around; (places/persons/objects); border upon (L+S);
circumjaceo, circumjacere, circumjacui, circumjacitus	lie near/round about, border on; (of persons, places, objects);
circumluceo, circumlucere, circumluxi, -	shine round, illuminate;
circummulceo, circummulcere, circummulsi, circummulsus	lick round, caress (with tongue);
circumpendeo, circumpendere, circumpendi, -	hang around, be suspended all around;
circumsedeo, circumsedere, circumsedi, circumsessus	besiege/invest/blockade; surround, mob (person), beset; sit/live/settle round;
circumsideo, circumsidere, circumsidi, circumsissus	besiege/invest/blockade; surround, mob (person), beset; sit/live/settle round;
circumstupeo, circumstupere, circumstupui, -	hang sluggishly round; look around with amazement, stand around amazed (L+S);
circumteneo, circumtenere, circumtenui, circumtentus	posses; keep/hold around;
circumtergeo, circumtergere, circumtersi, circumtersus	wipe/rub round about/all around;
circumtondeo, circumtondere, circumtotondi, circumtonsus	cut/shear/clip all around (hair);
circumtorqueo, circumtorquere, circumtosi, circumtortus	pull/twist/turn/wind/bend/spin round;
clareo, clarere, -, -	shine bright/clearly; be clear/plain/understandable/obvious; be famous/renowned;
claudeo, claudere, clausi, clausus	limp, stumble/falter/hesitate; be weak/imperfect, fall short; be lame, hobble;
clueo, cluere, -, -	be called, be named, be reputed/spoken of/said to be; be reckoned as existing;
coerceo, coercere, coercui, coercitus	enclose, confine; restrain, check, curb, repress; limit; preserve; punish;
cohaereo, cohaerere, cohaesi, cohaesus	stick/cling/hold/grow together, adhere; embrace; touch, adjoin, be in contact;
cohaereo, cohaerere, cohaesi, cohaesus	|be consistent/coherent; be connected/bound/joined/tied together; be in harmony;
coherceo, cohercere, cohercui, cohercitus	enclose, confine; restrain, check, curb, repress; limit; preserve; punish;
cohereo, coherere, cohesi, cohesus	stick/cling/hold/grow together, adhere; embrace; touch, adjoin, be in contact;
cohereo, coherere, cohesi, cohesus	|be consistent/coherent; be connected/bound/joined/tied together; be in harmony;
cohibeo, cohibere, cohibui, cohibitus	hold together, contain; hold back, restrain, curb, hinder; confine; repress;
coincideo, coincidere, coincidui, coinciditus	coincide;
colluceo, collucere, colluxi, -	shine brightly, light up (with fire); reflect light, shine, be lit up; glitter;
collugeo, collugere, colluxi, -	lament; grieve together;
commadeo, commadere, commadui, -	become tender or sodden; become very soft (L+S);
commaneo, commanere, commansi, commansus	remain somewhere constantly;
commarceo, commarcere, -, -	wither; become wholly faint/inactive;
commereo, commerere, commerui, commeritus	merit fully, deserve, incur, earn (punishment/reward); be guilty of, perpetuate;
commisceo, commiscere, commiscui, commixtus	intermingle, mix together/up, combine (ingredients); unite/join sexually;
commisceo, commiscere, commiscui, commixtus	|mingle (with another race); transact business (w/cum), discuss; confuse;
commiseret, commiserere, -, -	one pities/feels sorry for (w/ACC or GEN);
commoneo, commonere, commonui, commonitus	remind (forcibly), warn; bring to recollection (L+S); impress upon one;
commordeo, commordere, commordi, commorsus	bite/snap at; (literally/figuratively); (sharply/eagerly L+S);
commoveo, commovere, commovi, commotus	shake/stir up, agitate; displace, disturb, trouble/worry, upset; jolt; excite;
commoveo, commovere, commovi, commotus	|waken; provoke; move (money/camp); produce; cause, start (war); raise (point);
commulceo, commulcere, commulsi, commulsus	caress, coax; soothe, please (much); cajole;
compareo, comparere, comparui, -	appear/come in sight; be visible/present/in evidence/clearly stated/forthcoming;
complaceo, complacere, complacui, complacitus	please, take fancy of, capture affections of, be acceptable/agreed to;
compleo, complere, complevi, completus	fill (up/in); be big enough to fill; occupy space, crowd; furnish/supply/man;
compleo, complere, complevi, completus	|finish, complete, perfect; make pregnant; fulfill, make up, complete, satisfy;
concaleo, concalere, concalui, -	be/become warm; (thoroughly);
concubeo, concubere, concubui, concubitus	lie with (sexual and not); have sexual intercourse with;
condeceo, condecere, -, -	be fitting/proper for, suit;
condecet, condecere, -, -	it is fitting/becoming/seemly/meet; (w/ACC + INF);
condenseo, condensere, -, -	compress; pack/press closely together; condense/make firm; (PASS) grow thickly;
condoceo, condocere, condocui, condoctus	teach, instruct; train, exercise (L+S);
condoleo, condolere, condolui, condolitus	feel severe pain; suffer greatly/with another; feel another's pain; empathize;
confideo, confidere, confisus sum	rely on, trust (to); believe, be confident/assured/sure; (Vulgate 4 Ezra 7:98);
confloreo, conflorere, conflorui, -	bloom/flourish together;
confoveo, confovere, confovi, confotus	care for, tend; warm (L+S); foster; cherish assiduously;
confulgeo, confulgere, confulsi, -	shine, gleam; be resplendent; shine brightly, glitter, glisten (L+S);
congaudeo, congaudere, congavisi, congavisus	rejoice with one/together;
coniveo, conivere, conivi, -	close/screw up the eyes, blink; wink at, overlook, turn a blind eye, connive;
coniveo, conivere, conixi, -	|be tightly closed (eyes); (other things); be inactive/eclipsed; lie dormant;
conjaceo, conjacere, conjacui, conjacitus	lie together;
conjubeo, conjubere, -, -	command together;
conluceo, conlucere, conluxi, -	shine brightly, light up (with fire); reflect light, shine, be lit up; glitter;
conlugeo, conlugere, conluxi, -	lament; grieve together;
conmereo, conmerere, conmerui, conmeritus	merit fully, deserve, incur, earn (punishment/reward); be guilty of, perpetuate;
conmoneo, conmonere, conmonui, conmonitus	remind (forcibly), warn; bring to recollection (L+S); impress upon one;
conmoveo, conmovere, conmovi, conmotus	shake/stir up, agitate; displace, disturb, trouble/worry, upset; jolt; excite;
conmoveo, conmovere, conmovi, conmotus	|waken; provoke; move (money/camp); produce; cause, start (war); raise (point);
conniveo, connivere, connivi, -	close/screw up the eyes, blink; wink at, overlook, turn a blind eye, connive;
conniveo, connivere, connixi, -	|be tightly closed (eyes); (other things); be inactive/eclipsed; lie dormant;
conpareo, conparere, conparui, -	appear/come in sight; be visible/present/in evidence/clearly stated/forthcoming;
conplaceo, conplacere, conplacui, conplacitus	please, take the fancy of, capture the affections of, be acceptable/agreed to;
conpleo, conplere, conplevi, conpletus	fill (up/in); be big enough to fill; occupy space, crowd; furnish/supply/man;
conpleo, conplere, conplevi, conpletus	|finish, complete, perfect; make pregnant; fulfill, make up, complete, satisfy;
conrideo, conridere, conrisi, conrisus	laugh together; laugh out loud (L+S);
conspondeo, conspondere, conspondi, consponsus	exchange pledges; engage/promise mutually (L+S);
constupeo, constupere, constupui, -	be very much astonished;
consuadeo, consuadere, consuasi, consuasus	advocate, recommend/advise strongly; try to persuade (w/DAT);
consueo, consuere, consuevi, consuetus	accustom; become accustomed; be accustomed, inure, habituate. familiarize;
contereo, conterere, conterui, conteritus	frighten thoroughly; fill with terror; suppress/intimidate by terrorizing;
conterreo, conterrere, conterrui, conterritus	frighten thoroughly; fill with terror; suppress/intimidate by terrorizing;
conticeo, conticere, -, -	be silent; keep quiet/still;
contineo, continere, continui, contentus	secure, maintain, sustain; fasten/hold in position; retain, keep safe, preserve;
contineo, continere, continui, contentus	|hinder, contain/shut in/confine; stay; restrain/hold back; comprise/form basis;
contineo, continere, continui, contentus	||keep/hold/hang together/fast; surround, enclose, contain, limit; concentrate;
contorqueo, contorquere, contorsi, contortus	stir up/agitate, make rough (sea); utter with vigor; turn about/sway (emotions);
contorqueo, contorquere, contorsi, contortus	|twist, make twisted/crooked; twirl/whirl, rotate/move in arc; brandish; fling;
contorreo, contorrere, contorrui, contostus	dry up entirely; parch, scorch;
convoveo, convovere, convovi, convotus	join in taking a vow/oath; devour together (L+S)?;
correspondeo, correspondere, correspondi, corresponsus	correspond; harmonize; repay; reciprocate; respond to; answer strongly;
corrideo, corridere, corrisi, corrisus	laugh together; laugh out loud (L+S);
debeo, debere, debui, debitus	owe; be indebted/responsible for/obliged/bound/destined; ought, must, should;
decet, decere, decuit, -	it is fitting/right/seemly/suitable/proper; it ought; become/adorn/grace;
dedoceo, dedocere, dedocui, dedoctus	cause (person) to unlearn/discard previous teaching; reeducate; teach opposite;
dedoleo, dedolere, dedolui, -	cease to grieve; put an end to one's sorrows;
deferveo, defervere, deferbui, -	go through or cease a process of heating/fermentation; rage furiously;
deferveo, defervere, deferbui, -	|boil thoroughly; ferment completely (wine); effervesce (lime); subside;
defleo, deflere, deflevi, defletus	cry bitterly; give oneself up to tears; weep much/violently/to exhaustion (L+S);
defleo, deflere, deflevi, defletus	weep (abundantly) for; mourn loss of; express/feel sorrow about; lament/bewail;
defloreo, deflorere, deflorui, -	drop/shed blossoms/petals (before bearing fruit);
dehabeo, dehabere, dehabui, dehabitus	lack, not to have;
dehibeo, dehibere, dehibui, dehibitus	owe; be indebted/responsible for/obliged/bound/destined; ought, must, should;
deleo, delere, delevi, deletus	erase, wipe/scratch/remove (letters/marks), wipe/blot out, expunge, delete;
deleo, delere, delevi, deletus	|annihilate/exterminate, kill every member of a group; put end to, end/abolish;
deleo, delere, delevi, deletus	|destroy completely, demolish/obliterate/crush; ruin; overthrow; nullify/annul;
demereo, demerere, demeri, demeritus	oblige, please, win the favor of; earn, merit, deserve (well of);
demordeo, demordere, -, demorsus	bite off;
demoveo, demovere, demovi, demotus	move away, put away; turn away (eyes); divert (from idea/mood); force to yield;
demoveo, demovere, demovi, demotus	|dislodge; turn aside; remove/get rid of; depose/oust; banish; dissociate;
demulceo, demulcere, demulsi, demulctus	stroke, stroke down, rub/stroke caressingly/soothingly; soothe/entrance/charm;
denseo, densere, -, densetus	thicken/condense, press/crowd together; multiply; cause to come thick and fast;
dependeo, dependere, dependi, -	hang on/from/down (from); depend; depend upon/on; proceed/be derived from;
depleo, deplere, deplevi, depletus	drain/draw off, empty out; bleed/let (blood); relieve (of); exhaust; subtract;
derideo, deridere, derisi, derisus	mock/deride/laugh at/make fun of; be able to laugh, escape, get off scot free;
derigeo, derigere, -, -	soften, remove hardness;
desideo, desidere, desedi, desessus	sit; settle down; remain seated/sitting; loiter/hang about, be idle/slothful;
desideo, desidere, desedi, desessus	|settle (sediment); defecate; deteriorate, degenerate; remain inactive (L+S);
desorbeo, desorbere, -, -	swallow down;
despondeo, despondere, despepondi, desponsus	betroth, promise (woman) in marriage; pledge, promise; despair/yield/give up;
despondeo, despondere, despondi, desponsus	betroth, promise (woman) in marriage; pledge, promise; despair/yield/give up;
despondeo, despondere, despopondi, desponsus	betroth, promise (woman) in marriage; pledge, promise; despair/yield/give up;
detergeo, detergere, detersi, detersus	wipe/clean off/away; strip/trim/sheer/break/sweep off, rub/wipe clean; cancel;
detergeo, detergere, detersi, detersus	|remove, take away; break to pieces; have swept off;
deterreo, deterrere, deterrui, deterritus	deter; frighten away; discourage (from), put/keep off, avert; frighten/terrify;
detineo, detinere, detinui, detentus	detain, hold; hold off, keep away (from); hold prisoner; retain; occupy;
detineo, detinere, detinui, detentus	|hold/keep back (from use); keep, cause to remain; reserve; delay end, protract;
detondeo, detondere, detondi, detonsus	clip/shear, crop/prune; shear (wool)/strip (leaf); cut off/short; lay waste;
detondeo, detondere, detotondi, detonsus	clip/shear, crop/prune; shear (wool)/strip (leaf); cut off/short; lay waste;
detorqueo, detorquere, detorsi, detortus	turn/twist/bend/pull away/aside; deflect; deviate (path); divert; sway;
detorqueo, detorquere, detorsi, detortus	|distort, bend out of shape; pervert, misrepresent, twist sense of, alter form;
detorreo, detorrere, detorrui, detostus	scorch, burn;
devigeo, devigere, -, -	lose the power (to);
devoveo, devovere, devovi, devotus	devote, consecrate; vow, promise solemnly; mark out, appoint; curse, execrate;
devoveo, devovere, devovi, devotus	|dedicate to infernal gods (general/army); destine, doom; bewitch, enchant;
diffleo, difflere, difflevi, diffletus	cry/weep away (one's eyes);
diluceo, dilucere, diluxi, -	be clear; be evident; be light enough to distinguish objects (L+S);
dimoveo, dimovere, dimovi, dimotus	put/set aside, dismiss, divert; displace/remove; exercise, move about;
dimoveo, dimovere, dimovi, dimotus	|separate/divide; cleave; make a parting in/between;, part; disperse;
diribeo, diribere, -, diribitus	sort/separate voting tablets/ballots from ballot-box; distribute, dispense;
discaveo, discavere, discavi, discautus	beware of; be on one's guard against; keep away from;
dispareo, disparere, disparui, disparitus	disappear, vanish, vanish out of sight;
displiceo, displicere, displicui, displicitus	displease;
displodeo, displodere, displodui, disploditus	explode;
dissideo, dissidere, dissedi, dissessus	disagree, be at variance; be separated;
dissuadeo, dissuadere, dissuasi, dissuasus	dissuade, advise against;
distineo, distinere, distinui, distentus	keep apart, separate; prevent, hold up; distract;
distorqueo, distorquere, distorsi, distortus	twist this way and that;
divergeo, divergere, divergui, divergitus	diverge;
doceo, docere, docui, doctus	teach, show, point out;
doleo, dolere, dolui, dolitus	hurt; feel/suffer pain; grieve; be afflicted/pained/sorry; cause pain/grief;
edoceo, edocere, edocui, edoctus	teach or inform thoroughly;
effulgeo, effulgere, effulsi, -	shine forth, glitter; be or become conspicuous;
egeo, egere, egui, -	need (w/GEN/ABL), lack, want; require, be without;
eluceo, elucere, eluxi, -	shine forth; show itself; be manifest;
emaneo, emanere, emansi, emansus	stay away (from); stay out/beyond; absent oneself;
emarceo, emarcere, emarcui, -	decay, wither;
emereo, emerere, emerui, emeritus	earn, obtain by service, merit, deserve; emerge; complete/serve out one's time;
emineo, eminere, eminui, -	stand out; be prominent/preeminent, excel; project;
emoneo, emonere, emonui, emonitus	exhort; admonish earnestly; warn (Ecc);
emoveo, emovere, emovi, emotus	move away, remove, dislodge;
eniteo, enitere, enitui, -	shine forth/out; be outstanding/conspicuous;
excieo, exciere, -, -	rouse; call out send for; summon; evoke;
exerceo, exercere, exercui, exercitus	exercise, train, drill, practice; enforce, administer; cultivate;
exhibeo, exhibere, exhibui, exhibitus	present; furnish; exhibit; produce;
exhorreo, exhorrere, exhorrui, -	shudder; be terrified;
expleo, explere, explevi, expletus	fill out; fill, fill up, complete, finish; satisfy, satiate;
explodeo, explodere, explodui, exploditus	explode;
extergeo, extergere, extersi, extersus	wipe; wipe dry; wipe away;
exterreo, exterrere, exterrui, exterritus	strike with terror, scare;
extorqueo, extorquere, extorsi, extortus	extort; tear away, twist away; twist/wrench out;
exurgeo, exurgere, exursi, -	squeeze out;
faeteo, faetere, -, -	stink; have a bad/offensive smell/odor;
faveo, favere, favi, fautus	favor (w/DAT), befriend, support, back up;
ferveo, fervere, ferbui, -	be (very) hot; boil/burn; seethe/surge; swarm; be turbulent/run strongly; froth;
ferveo, fervere, ferbui, -	|be warm/aroused/inflamed/feverish, reek (w/blood); be active/busy/agitated;
feteo, fetere, -, -	stink; have a bad/offensive smell/odor;
fideiubeo, fideiubere, fideiussi, fideiussus	become surety; go bail; guarantee;
flacceo, flaccere, -, -	be flabby; fail. flag;
flaveo, flavere, -, -	be yellow or gold-colored;
fleo, flere, flevi, fletus	cry for; cry, weep;
floreo, florere, florui, -	flourish, blossom, be prosperous; be in one's prime;
foeteo, foetere, -, -	stink; have a bad/offensive smell/odor;
foveo, fovere, fovi, fotus	keep warm; favor, cherish, maintain, foster;
frendeo, frendere, -, -	gnash the teeth, grind up small;
frigeo, frigere, -, -	be cold; lack vigor; get cold reception; fail to win favor; fall flat (words);
frondeo, frondere, frondui, fronditus	have/put forth leaves, be in leaf; be leafy/full of trees (place); (in spirit);
fulgeo, fulgere, fulsi, -	flash, shine; glow, gleam, glitter, shine forth, be bright;
fulgueo, fulguere, fulgsi, -	glitter/flash/shine brightly, gleam; be brilliant/bright/resplendent; light up;
gaudeo, gaudere, gavisus sum	be glad, rejoice;
glubeo, glubere, -, -	shed its bark; (of a tree);
habeo, habere, habui, habitus	have, hold, consider, think, reason; manage, keep; spend/pass (time);
haereo, haerere, haesi, haesus	stick, adhere, cling to; hesitate; be in difficulties (sticky situation?);
haveo, havere, -, -	hail!; (only IMP/INF); greeting/leaving; [have/ave => hail, farewell];
haveo, havere, -, -	|be eager/anxious (w/INF); desire, wish for, long after, crave;
hebeo, hebere, -, -	be blunt; be sluggish/inactive; grow dim/faint, die down; (of feelings);
hereo, herere, hesi, hesus	stick, adhere, cling to; hesitate; be in difficulties (sticky situation?);
horreo, horrere, horrui, -	dread, shrink from, shudder at; stand on end, bristle; have rough appearance;
illuceo, illucere, illuxi, -	illuminate, shine on;
immineo, imminere, -, -	threaten, be a threat (to); overhang, be imminent; with DAT;
immisceo, immiscere, immiscui, immixtus	mix in, mingle; confuse;
impendeo, impendere, -, -	overhang, hang over; threaten; be imminent, impend; (w/DAT);
impleo, implere, implevi, impletus	fill up; satisfy, fulfill; fill, finish, complete; spend (time);
imprimeo, imprimere, imprimui, imprimitus	print (a book);
indigeo, indigere, indigui, -	need, lack, require (w/GEN or ABL);
indulgeo, indulgere, indulsi, indultus	indulge; be indulgent/lenient/kind; grant/bestow; gratify oneself; give in to;
infulgeo, infulgere, infulsi, -	shine in; lighten;
inhaereo, inhaerere, inhaesi, inhaesus	stick/hold fast/to, cling, adhere, fasten on; haunt, dwell in; get teeth in;
inhibeo, inhibere, inhibui, inhibitus	restrain, curb; prevent;
inhorreo, inhorrere, inhorrui, inhorritus	stand on end; bristle up; shiver all over;
inluceo, inlucere, inluxi, -	illuminate, shine on;
inrideo, inridere, inrisi, inrisus	laugh at, ridicule;
insideo, insidere, insidi, insessus	sit (at/on); sit (on) a horse; be seated; (things) rest/lie upon; lie heavy;
insideo, insidere, insidi, insessus	|be situated in/on; inhabit (area); lie in ambush (in); be troublesome (to);
insideo, insidere, insidi, insessus	||be fixed/stamped in; adhere to; grip; take possession of; hold/occupy;
intepeo, intepere, -, -	be lukewarm;
interjaceo, interjacere, interjacui, interjacitus	lie between;
interluceo, interlucere, interluxi, interluctus	shine forth;
intermisceo, intermiscere, intermiscui, intermixtus	intermingle, mix, mix among, mingle;
interniteo, internitere, -, -	shine forth; shine among;
intorqueo, intorquere, intorsi, intortus	twist or turn round, sprain; hurl or launch a missile at;
invideo, invidere, invidi, invisus	envy, regard with envy/ill will; be jealous of; begrudge, refuse;
irrideo, irridere, irrisi, irrisus	ridicule, mock, make fun of; laugh at;
jaceo, jacere, jacui, jacitus	lie; lie down; lie ill/in ruins/prostrate/dead; sleep; be situated;
jubeo, jubere, jussi, jussus	order/tell/command/direct; enjoin/command; decree/enact; request/ask/bid; pray;
langueo, languere, -, -	be tired; be listless/sluggish/unwell/ill; wilt, lack vigor;
lateo, latere, latui, -	lie hidden, lurk; live a retired life, escape notice;
libet, libere, libuit, libitus est	it pleases, is pleasing/agreeable; (w/qui whatever, whichever, no matter);
liceo, licere, licui, -	fetch (price); (with ABL or GEN);
licet, licere, licuit, licitus est	it is permitted, one may; it is all right, lawful, allowed, permitted;
lineo, linere, linui, linitus	smear, plaster (with); seal (wine jar); erase/rub over; befoul; cover/overlay;
liqueo, liquere, licui, -	be in molten/liquid state; be clear to a person; be evident;
liqueo, liquere, liqui, -	be in molten/liquid state; be clear to a person; be evident;
