"","V1","V2"
"66","claus","limp, stumble/falter/hesitate; be weak/imperfect, fall short; be lame, hobble;"
"67","coercit","enclose, confine; restrain, check, curb, repress; limit; preserve; punish;"
"68","cohaes","stick/cling/hold/grow together, adhere; embrace; touch, adjoin, be in contact;"
"69","cohaes","|be consistent/coherent; be connected/bound/joined/tied together; be in harmony;"
"70","cohercit","enclose, confine; restrain, check, curb, repress; limit; preserve; punish;"
"71","cohes","stick/cling/hold/grow together, adhere; embrace; touch, adjoin, be in contact;"
"72","cohes","|be consistent/coherent; be connected/bound/joined/tied together; be in harmony;"
"73","cohibit","hold together, contain; hold back, restrain, curb, hinder; confine; repress;"
"74","coincidit","coincide;"
"75","commans","remain somewhere constantly;"
"76","commerit","merit fully, deserve, incur, earn (punishment/reward); be guilty of, perpetuate;"
"77","commixt","intermingle, mix together/up, combine (ingredients); unite/join sexually;"
"78","commixt","|mingle (with another race); transact business (w/cum), discuss; confuse;"
"79","commonit","remind (forcibly), warn; bring to recollection (L+S); impress upon one;"
"80","commors","bite/snap at; (literally/figuratively); (sharply/eagerly L+S);"
"81","commot","shake/stir up, agitate; displace, disturb, trouble/worry, upset; jolt; excite;"
"82","commot","|waken; provoke; move (money/camp); produce; cause, start (war); raise (point);"
"83","commuls","caress, coax; soothe, please (much); cajole;"
"84","complacit","please, take fancy of, capture affections of, be acceptable/agreed to;"
"85","complet","fill (up/in); be big enough to fill; occupy space, crowd; furnish/supply/man;"
"86","complet","|finish, complete, perfect; make pregnant; fulfill, make up, complete, satisfy;"
"87","concubit","lie with (sexual and not); have sexual intercourse with;"
"88","condoct","teach, instruct; train, exercise (L+S);"
"89","condolit","feel severe pain; suffer greatly/with another; feel another's pain; empathize;"
"90","confot","care for, tend; warm (L+S); foster; cherish assiduously;"
"91","congavis","rejoice with one/together;"
"92","conjacit","lie together;"
"93","conmerit","merit fully, deserve, incur, earn (punishment/reward); be guilty of, perpetuate;"
"94","conmonit","remind (forcibly), warn; bring to recollection (L+S); impress upon one;"
"95","conmot","shake/stir up, agitate; displace, disturb, trouble/worry, upset; jolt; excite;"
"96","conmot","|waken; provoke; move (money/camp); produce; cause, start (war); raise (point);"
"97","conplacit","please, take the fancy of, capture the affections of, be acceptable/agreed to;"
"98","conplet","fill (up/in); be big enough to fill; occupy space, crowd; furnish/supply/man;"
"99","conplet","|finish, complete, perfect; make pregnant; fulfill, make up, complete, satisfy;"
"100","conris","laugh together; laugh out loud (L+S);"
"101","conspons","exchange pledges; engage/promise mutually (L+S);"
"102","consuas","advocate, recommend/advise strongly; try to persuade (w/DAT);"
"103","consuet","accustom; become accustomed; be accustomed, inure, habituate. familiarize;"
"104","conterit","frighten thoroughly; fill with terror; suppress/intimidate by terrorizing;"
"105","conterrit","frighten thoroughly; fill with terror; suppress/intimidate by terrorizing;"
"106","content","secure, maintain, sustain; fasten/hold in position; retain, keep safe, preserve;"
"107","content","|hinder, contain/shut in/confine; stay; restrain/hold back; comprise/form basis;"
"108","content","||keep/hold/hang together/fast; surround, enclose, contain, limit; concentrate;"
"109","contort","stir up/agitate, make rough (sea); utter with vigor; turn about/sway (emotions);"
"110","contort","|twist, make twisted/crooked; twirl/whirl, rotate/move in arc; brandish; fling;"
"111","contost","dry up entirely; parch, scorch;"
"112","convot","join in taking a vow/oath; devour together (L+S)?;"
"113","correspons","correspond; harmonize; repay; reciprocate; respond to; answer strongly;"
"114","corris","laugh together; laugh out loud (L+S);"
"115","debit","owe; be indebted/responsible for/obliged/bound/destined; ought, must, should;"
"116","dedoct","cause (person) to unlearn/discard previous teaching; reeducate; teach opposite;"
"117","deflet","cry bitterly; give oneself up to tears; weep much/violently/to exhaustion (L+S);"
"118","deflet","weep (abundantly) for; mourn loss of; express/feel sorrow about; lament/bewail;"
"119","dehabit","lack, not to have;"
"120","dehibit","owe; be indebted/responsible for/obliged/bound/destined; ought, must, should;"
"121","delet","erase, wipe/scratch/remove (letters/marks), wipe/blot out, expunge, delete;"
"122","delet","|annihilate/exterminate, kill every member of a group; put end to, end/abolish;"
"123","delet","|destroy completely, demolish/obliterate/crush; ruin; overthrow; nullify/annul;"
"124","demerit","oblige, please, win the favor of; earn, merit, deserve (well of);"
"125","demors","bite off;"
"126","demot","move away, put away; turn away (eyes); divert (from idea/mood); force to yield;"
"127","demot","|dislodge; turn aside; remove/get rid of; depose/oust; banish; dissociate;"
"128","demulct","stroke, stroke down, rub/stroke caressingly/soothingly; soothe/entrance/charm;"
"129","denset","thicken/condense, press/crowd together; multiply; cause to come thick and fast;"
"130","deplet","drain/draw off, empty out; bleed/let (blood); relieve (of); exhaust; subtract;"
"131","deris","mock/deride/laugh at/make fun of; be able to laugh, escape, get off scot free;"
"132","desess","sit; settle down; remain seated/sitting; loiter/hang about, be idle/slothful;"
"133","desess","|settle (sediment); defecate; deteriorate, degenerate; remain inactive (L+S);"
"134","despons","betroth, promise (woman) in marriage; pledge, promise; despair/yield/give up;"
"135","despons","betroth, promise (woman) in marriage; pledge, promise; despair/yield/give up;"
"136","despons","betroth, promise (woman) in marriage; pledge, promise; despair/yield/give up;"
"137","deters","wipe/clean off/away; strip/trim/sheer/break/sweep off, rub/wipe clean; cancel;"
"138","deters","|remove, take away; break to pieces; have swept off;"
"139","deterrit","deter; frighten away; discourage (from), put/keep off, avert; frighten/terrify;"
"140","detent","detain, hold; hold off, keep away (from); hold prisoner; retain; occupy;"
"141","detent","|hold/keep back (from use); keep, cause to remain; reserve; delay end, protract;"
"142","detons","clip/shear, crop/prune; shear (wool)/strip (leaf); cut off/short; lay waste;"
"143","detons","clip/shear, crop/prune; shear (wool)/strip (leaf); cut off/short; lay waste;"
"144","detort","turn/twist/bend/pull away/aside; deflect; deviate (path); divert; sway;"
"145","detort","|distort, bend out of shape; pervert, misrepresent, twist sense of, alter form;"
"146","detost","scorch, burn;"
"147","devot","devote, consecrate; vow, promise solemnly; mark out, appoint; curse, execrate;"
"148","devot","|dedicate to infernal gods (general/army); destine, doom; bewitch, enchant;"
"149","difflet","cry/weep away (one's eyes);"
"150","dimot","put/set aside, dismiss, divert; displace/remove; exercise, move about;"
"151","dimot","|separate/divide; cleave; make a parting in/between;, part; disperse;"
"152","diribit","sort/separate voting tablets/ballots from ballot-box; distribute, dispense;"
"153","discaut","beware of; be on one's guard against; keep away from;"
"154","disparit","disappear, vanish, vanish out of sight;"
"155","displicit","displease;"
"156","displodit","explode;"
"157","dissess","disagree, be at variance; be separated;"
"158","dissuas","dissuade, advise against;"
"159","distent","keep apart, separate; prevent, hold up; distract;"
"160","distort","twist this way and that;"
"161","divergit","diverge;"
"162","doct","teach, show, point out;"
"163","dolit","hurt; feel/suffer pain; grieve; be afflicted/pained/sorry; cause pain/grief;"
"164","edoct","teach or inform thoroughly;"
"165","emans","stay away (from); stay out/beyond; absent oneself;"
"166","emerit","earn, obtain by service, merit, deserve; emerge; complete/serve out one's time;"
"167","emonit","exhort; admonish earnestly; warn (Ecc);"
"168","emot","move away, remove, dislodge;"
"169","exercit","exercise, train, drill, practice; enforce, administer; cultivate;"
"170","exhibit","present; furnish; exhibit; produce;"
"171","explet","fill out; fill, fill up, complete, finish; satisfy, satiate;"
"172","explodit","explode;"
"173","exters","wipe; wipe dry; wipe away;"
"174","exterrit","strike with terror, scare;"
"175","extort","extort; tear away, twist away; twist/wrench out;"
"176","faut","favor (w/DAT), befriend, support, back up;"
"177","fideiuss","become surety; go bail; guarantee;"
"178","flet","cry for; cry, weep;"
"179","fot","keep warm; favor, cherish, maintain, foster;"
"180","frondit","have/put forth leaves, be in leaf; be leafy/full of trees (place); (in spirit);"
"181","habit","have, hold, consider, think, reason; manage, keep; spend/pass (time);"
"182","haes","stick, adhere, cling to; hesitate; be in difficulties (sticky situation?);"
"183","hes","stick, adhere, cling to; hesitate; be in difficulties (sticky situation?);"
"184","immixt","mix in, mingle; confuse;"
"185","implet","fill up; satisfy, fulfill; fill, finish, complete; spend (time);"
"186","imprimit","print (a book);"
"187","indult","indulge; be indulgent/lenient/kind; grant/bestow; gratify oneself; give in to;"
"188","inhaes","stick/hold fast/to, cling, adhere, fasten on; haunt, dwell in; get teeth in;"
"189","inhibit","restrain, curb; prevent;"
"190","inhorrit","stand on end; bristle up; shiver all over;"
"191","inris","laugh at, ridicule;"
"192","insess","sit (at/on); sit (on) a horse; be seated; (things) rest/lie upon; lie heavy;"
"193","insess","|be situated in/on; inhabit (area); lie in ambush (in); be troublesome (to);"
"194","insess","||be fixed/stamped in; adhere to; grip; take possession of; hold/occupy;"
"195","interjacit","lie between;"
"196","interluct","shine forth;"
"197","intermixt","intermingle, mix, mix among, mingle;"
"198","intort","twist or turn round, sprain; hurl or launch a missile at;"
"199","invis","envy, regard with envy/ill will; be jealous of; begrudge, refuse;"
"200","irris","ridicule, mock, make fun of; laugh at;"
"201","jacit","lie; lie down; lie ill/in ruins/prostrate/dead; sleep; be situated;"
"202","juss","order/tell/command/direct; enjoin/command; decree/enact; request/ask/bid; pray;"
"203","libitus e","it pleases, is pleasing/agreeable; (w/qui whatever, whichever, no matter);"
"204","licitus e","it is permitted, one may; it is all right, lawful, allowed, permitted;"
"205","linit","smear, plaster (with); seal (wine jar); erase/rub over; befoul; cover/overlay;"
"206","lubitus e","it pleases/is pleasing/agreeable; please/want/feel like; [w/qui => no matter];"
"207","luct","mourn, grieve (over); bewail, lament; be in mourning;"
"208","mans","remain, stay, abide; wait for; continue, endure, last; spend the night (sexual);"
"209","merit","earn; deserve/merit/have right; win/gain/incur; earn soldier/whore pay, serve;"
"210","mixt","mix, mingle; embroil; confound; stir up;"
"211","miserit","pity, feel pity; show/have mercy/compassion/pity for (w/GEN);"
"212","misert","pity, feel pity; show/have mercy/compassion/pity for (w/GEN);"
"213","monit","remind, advise, warn; teach; admonish; foretell, presage;"
"214","mors","bite; sting; hurt, pain; vex; criticize, carp at; eat, consume; bite/cut into;"
"215","mot","move, stir, agitate, affect, provoke, disturb;  [movere se => dance];"
"216","muls","stroke, touch lightly, fondle, soothe, appease, charm, flatter, delight;"
"217","mulct","milk (an animal); extract (milk);"
"218","muls","milk (an animal); extract (milk);"
"219","net","spin; weave; produce by spinning;"
"220","nocit","harm, hurt; injure (with DAT);"
"221","notit","notify;"
"222","objacit","lie near by/at hand/opposite; lie in/block the way; lie exposed/at the mercy o;"
"223","obsess","blockade, besiege, invest, beset; take possession of;"
"224","obsorbit","swallow; gulp down;"
"225","obtent","get hold of; maintain; obtain; hold fast, occupy; prevail;"
"226","obtort","bend back; twist or turn;"
"227","oportuit","require (to be done), order;"
"228","opplet","fill (completely); overspread;"
"229","optent","get hold of; maintain; obtain; hold fast, occupy; prevail;"
"230","parit","obey, be subject/obedient to; submit/yield/comply; pay attention; attend to;"
"231","parit","|appear, be visible, be seen; be clear/evident (legal);"
"232","peiorescit","get worse;"
"233","percensit","enumerate, recite from start to finish; inspect/examine/go over thoroughly;"
"234","percensit","|run one's mind over, review; survey, make complete/methodical assessment of;"
"235","perdoct","instruct thoroughly;"
"236","perdolit","vex, bother, cause grief/annoyance; grieve, be annoyed;"
"237","perhibit","present, give, bestow; regard, hold; name;"
"238","perhorrit","tremble at;"
"239","perlatit","lie well hidden;"
"240","perlibitus e","it is very pleasing/agreeable; please very much;"
"241","permans","last, continue; remain; endure;"
"242","permixt","mix or mingle together; confound; embroil; disturb thoroughly;"
"243","permot","stir up; move deeply; influence; agitate;"
"244","permuls","rub gently, stroke, touch gently; charm, please, beguile; soothe, alleviate;"
"245","perolit","emit strong odor;"
"246","persess","remain sitting; stay seated;"
"247","persuas","persuade, convince (with dat.);"
"248","pertaesus e","it wearies; it disgusts; it bores;"
"249","perterrit","frighten greatly, terrify;"
"250","pertent","reach; extend; relate to; concerns, pertain to;"
"251","pervis","take in with the eyes or mind;"
"252","pigitus e","it disgusts, irks, pains, chagrins, afflicts, grieves;"
"253","placit","please, satisfy, give pleasure to (with dat.);"
"254","placitus e","it is pleasing/satisfying, gives pleasure; is believed/settled/agreed/decided;"
"255","plaus","clap, strike (w/flat hand), pat; beat (wings); applaud; express (dis)approval;"
"256","polluct","offer, serve up;"
"257","polluit","pollute;"
"258","possess","seize, hold, be master of; possess, take/hold possession of, occupy; inherit;"
"259","posthabit","esteem less, subordinate (to); postpone;"
"260","praebit","present/show/put forward; offer; expose physically oneself; expose/submit/allow;"
"261","praebit","|make available, supply, provide; be the cause, occasion, produce; render;"
"262","praecaut","guard (against), beware;"
"263","praedisponit","plan;"
"264","praefult","shine with outstanding brightness, bean/shine forth; be outstanding, outshine;"
"265","praejacit","lie before;"
"266","praemonit","forewarn;"
"267","praemors","bite off; pilfer;"
"268","praemot","pre-move; move beforehand; stir greatly;"
"269","praenitit","shine forth;"
"270","praesupponit","presuppose;"
"271","praetepit","glow before;"
"272","praetort","twist round;"
"273","praevis","foresee, see in advance;"
"274","prans","eat one's morning or midday meal;"
"275","prebit","present/show/put forward; offer; expose physically oneself; expose/submit/allow;"
"276","prebit","|make available, supply, provide; be the cause, occasion, produce; render;"
"277","prodoct","preach (Collins); teach, inculcate; indoctrinate (Nelson);"
"278","profiscit","set out; depart;"
"279","prohibit","hinder, restrain; forbid, prevent;"
"280","promerit","deserve, merit; deserve well of; earn; gain;"
"281","promot","move forward;"
"282","propens","hand down; weigh more; be inclined;"
"283","proterrit","frighten;"
"284","provis","foresee; provide for, make provision; with DAT;"
"285","pudit","be ashamed; make ashamed; [me pudet => I am ashamed];"
"286","puditus e","it shames, make ashamed; [me tui pudet => I am ashamed of you];"
"287","ratihabit","ratify;"
"288","reagit","react;"
"289","recensit","review/examine/survey/muster; enumerate/count, make census/roll; pass in review;"
"290","recens","review/examine/survey/muster; enumerate/count, make census/roll; pass in review;"
"291","recipit","record (sounds, pictures);"
"292","recudit","reprint;"
"293","redhibit","take back;"
"294","refot","warm again; refresh, revive;"
"295","reimprimit","reprint;"
"296","remans","stay behind; continue, remain;"
"297","remist","mix/mingle in; remix/remingle (L+S); mix up/again; intermingle;"
"298","remixt","mix/mingle in; remix/remingle (L+S); mix up/again; intermingle;"
"299","remors","bite back; gnaw, nag;"
"300","remot","move back; put away; withdraw; remove;"
"301","remuls","stroke/fold back;"
"302","replet","fill again; complete, fill;"
"303","resess","sit down/on/in; settle; be perched; remain seated/idle/fixed/in place; squat;"
"304","resess","|abate/subside; be left over/retained, persist/stay; fall back; W:be encamped;"
"305","respons","answer;"
"306","retent","hold back, restrain; uphold; delay; hold fast; retain,preserve;"
"307","retort","twist back; cast back; fling back; turn aside;"
"308","ris","laugh at (with dat.), laugh; ridicule;"
"309","sess","sit, remain; settle; encamp;"
"310","semot","separate, set aside (Collins); remove, set apart, isolate (Nelson);"
"311","sepelet","bury/inter; (Romans cremate + inter ashes); submerge, overcome; suppress; ruin;"
"312","sorbit","drink, absorb;"
"313","sordit","be dirty/soiled; seem mean/unworthy/not good enough/common/coarse/vile/ignoble;"
"314","sordescit","become dirty; grow wild; be mean;"
"315","spons","promise, give pledge/undertaking/surety; contract to give/take in marriage;"
"316","spons","promise, give pledge/undertaking/surety; contract to give/take in marriage;"
"317","suas","urge, recommend; suggest; induce; propose, persuade, advise;"
"318","subinvis","envy a little; be somewhat envious;"
"319","subjacit","lie underneath/below/at the foot/edge of/exposed (to); come under heading of;"
"320","submot","remove; drive off, dislodge; expel; ward off; keep at a distance; bar/debar;"
"321","subris","smile;"
"322","summot","remove; drive off, dislodge; expel; ward off; keep at a distance; bar/debar;"
"323","superinvalit","excel in strength;"
"324","supersess","refrain (from), desist (from);"
"325","supplet","supply;"
"326","suscens","be angry; be indignant with;"
"327","sustent","support; check; put off; put up with; sustain; hold back;"
"328","tacit","be silent; pass over in silence; leave unmentioned, be silent about something;"
"329","taes","be tired/weary/sick (of) (w/GEN or INF+ACC of person); be disgusted/offended;"
"330","taesus e","be tired/weary/sick (of) (w/GEN or INF+ACC of person); be disgusted/offended;"
"331","tent","hold, keep; comprehend; possess; master; preserve; [tenere memoria => remember];"
"332","tent","|represent; support;"
"333","ters","rub, wipe; wipe off, wipe dry; clean, cleanse;"
"334","territ","frighten, scare, terrify, deter;"
"335","tons","cut, shear, clip;"
"336","tort","turn, twist; hurl; torture; torment; bend, distort; spin, whirl; wind (round);"
"337","tost","parch, roast, scorch, bake, burn; dry up; begin to burn; harden by charring;"
"338","transmot","remove; transfer;"
"339","valit","be strong/powerful/influential/healthy; prevail; [vale => goodbye/farewell];"
"340","vis","see, look at; consider; (PASS) seem, seem good, appear, be seen;"
"341","viet","plait, weave; bend/twist into basketwork;"
"342","vot","vow, dedicate, consecrate;"
