"","V1","V2"
"49","accumulav","accumulate, heap/pile up/soil; add by exaggeration; add, increase, enhance;"
"50","accurav","take care of, attend to (duties/guests), give attention to; perform with care;"
"51","accusitav","accuse repeatedly; go on accusing;"
"52","accusav","accuse, blame, find fault, impugn; reprimand; charge (w/crime/offense);"
"53","accussav","accuse, blame, find fault, impugn; reprimand; charge (w/crime/offense);"
"54","acerbav","embitter; aggravate; make disagreeable; make worse;"
"55","acervav","heap/pile up; make into heaps/piles; massed/categorized together; cover with;"
"56","acetascav","become sour/vinegary;"
"57","acontizav","shoot a dart; spout/gush forth (blood);"
"58","actitav","act/plead frequently/repeatedly; take parts in play as actor, be actor in;"
"59","actuav","implement; actuate;"
"60","acuminav","sharpen, make pointed, cut to a point;"
"61","adaequav","equalize, make equal in height, come up to level; compare (to); be equal; raze;"
"62","adaerav","calculate the area of a piece of land, appraise, value (in money), estimate;"
"63","adaestuav","rush, roar, boil up;"
"64","adaggerav","heap (earth, etc.) up around/over; seethe, foam up;"
"65","adalligav","bind/fasten to, attach;"
"66","adambulav","walk beside/near;"
"67","adamav","fall in love/lust with; love passionately/adulterously; admire greatly; covet;"
"68","adampliav","enlarge, increase, widen; embellish;"
"69","adaptav","adjust, modify; fit (to) (w/DAT);"
"70","adaquav","water, supply with water, bring water to; obtain water; give to drink;"
"71","adarav","plow carefully;"
"72","adauctav","increase, add to the resources of;"
"73","adbellav","make war upon;"
"74","adblaterav","prattle, chatter;"
"75","adbreviav","shorten, cut off; abbreviate, abstract; epitomize (Souter); break off; weaken;"
"76","adcelerav","speed up, quicken, hurry; make haste, act quickly, hasten; accelerate;"
"77","adclamav","shout (at), cry out against, protest; shout approval, applaud;"
"78","adclarav","make clear, reveal, make manifest;"
"79","adclinav","lay down, rest (on) (w/DAT), lean against/towards, incline (to);"
"80","adcommodav","adapt, adjust to, fit, suit; apply to, fasten on; apply/devote oneself to;"
"81","adcumulav","accumulate, heap/pile up/soil; add by exaggeration; add, increase, enhance;"
"82","adcurav","take care of, attend to (duties/guests), give attention to; perform with care;"
"83","addecimav","take the tenth part/a tenth; tithe;"
"84","addivinav","prognosticate, divine;"
"85","addubitav","doubt, be doubtful/uncertain; hesitate (to), hesitate over a situation;"
"86","adequitav","ride up to/towards/near, gallop up;"
"87","aderrav","stray towards/near; wander to/by;"
"88","adfectav","aim at, desire, aspire, try, lay claim to; try to control; feign, pretend;"
"89","adfigurav","form (word) by analogy;"
"90","adfirmav","affirm/assert (dogmatically/positively); confirm, ratify, restore; emphasize;"
"91","adflectav","affect, move, influence (to a course of action);"
"92","adflictav","shatter, damage, strike repeatedly, buffet, wreck; oppress, afflict; vex;"
"93","adflav","blow/breathe (on/towards); inspire, infuse; waft; graze; breathe poison on;"
"94","adformidav","be afraid, fear;"
"95","adfricu","rub (one thing against another); apply/communicate/impart by rubbing, smear on;"
"96","adfricu","rub (one thing against another); apply/communicate/impart by rubbing, smear on;"
"97","adfriav","sprinkle (powder); crumble, grate;"
"98","adgenerav","beget in addition;"
"99","adgerav","heap/fill up, bring, carry; increase, add fuel; push/crowd/press together;"
"100","adglomerav","gather into a body, mass together, join forces; pile up in masses; agglomerate;"
"101","adglutinav","glue/stick/adhere/fasten to/together; fit/grip on closely; bring in contact;"
"102","adgravav","aggravate, exaggerate; weigh down, oppress; make heavier; embarrass further;"
"103","adgregav","collect, include, group, implicate; (cause to) flock/join together, attach;"
"104","adgubernav","steer (one's course);"
"105","adhalav","breathe upon;"
"106","adhamav","catch, secure;"
"107","adhospitav","entertain as guest; propitiate;"
"108","adinflav","swell up;"
"109","adinspectav","watch; guard (person);"
"110","aditav","approach often/frequently/habitually;"
"111","adjudicav","adjudge, impute, attribute, ascribe (to); award (as a judge), assign (to);"
"112","adjugav","join, attach (to);"
"113","adjurav","swear by/solemnly; affirm with oath; charge/entreat/urge (as under oath/curse);"
"114","adjutav","help (w/burden/activity); help realize a program/purpose;"
"115","adjuvav","help, aid, abet, encourage, favor; cherish, sustain; be of use, be profitable;"
"116","adjuv","help, aid, abet, encourage, favor; cherish, sustain; be of use, be profitable;"
"117","adlaborav","make a special effort; take trouble to;"
"118","adlatrav","bark at; rail at; rage, roar (sea);"
"119","adlaudav","praise, commend;"
"120","adlavav","flow up to (water), wash;"
"121","adlectav","entice, allure, encourage, invite;"
"122","adlegav","depute/send as agent, commission, put up; suborn; urge/plea, lay before; allege;"
"123","adleviav","lighten, make light; deal lightly/leniently with; raise up, relieve;"
"124","adlevav","lift/raise/heap/pile up, exalt; alleviate/diminish/weaken; comfort/console/cheer"
"125","adlevav","|smooth, smooth off, make smooth; polish; depilate;"
"126","adligav","bind/fetter (to); bandage; hinder, impede, detain; accuse; implicate/involve in;"
"127","adludiav","play/frolic (with);"
"128","admaturav","hasten (an occurrence); bring to maturity, mature, ripen;"
"129","admeav","go to, approach;"
"130","admigrav","go and live with; go to a place; come to; be added to;"
"131","adminiculav","prop (up), support (with props); support with authority; applied to adverb;"
"132","administrav","administer, manage, direct; assist; operate, conduct; maneuver (ship); bestow;"
"133","admurmurav","murmur in protest or approval; murmur at;"
"134","admutilav","cut/clip close; shave; fleece, cheat, defraud;"
"135","adnarrav","tell/relate (to);"
"136","adnatav","swim to/up to; swim beside/alongside;"
"137","adnavigav","sail to/up to/towards; sail beside/alongside;"
"138","adnegav","refuse; withhold;"
"139","adnictav","wink to/at; blink at;"
"140","adnihilav","annihilate, destroy, demolish, ruin, bring to nothing;"
"141","adnililav","annihilate, bring to nothing;"
"142","adnav","swim to/towards, approach by swimming; sail to/towards; brought by sea (goods);"
"143","adnodav","cut (shoot) right back, cut flush; cut off knots, cut away suckers;"
"144","adnotav","note/jot down, notice, become aware; mark, annotate; record, state; designate;"
"145","adnubilav","bring up clouds (against);"
"146","adnullav","annihilate, obliterate, destroy; annul (eccl.);"
"147","adnumerav","count (in/out), pay; reckon (time); enumerate, run through; classify as; add;"
"148","adnuntiav","announce, say, make known; report, bring news; prophesy/announce before; preach;"
"149","adnutav","nod (to); order/assent to by a nod; bow to;"
"150","adoptav","adopt, select, secure, pick out; wish/name for oneself; adopt legally;"
"151","adordinav","set in order, arrange;"
"152","adornav","equip, get ready, prepare; set off; adorn, array, embellish; honor, endow;"
"153","adorav","honor, adore, worship, pay homage, reverence; beg, plead with, appeal to;"
"154","adparav","prepare, fit out, make ready, equip, provide; attempt; organize (project);"
"155","adpectorav","press/clasp to the breast;"
"156","adpellitav","call or name (frequently or habitually);"
"157","adpellav","call (upon); address; dun; solicit; appeal (to); bring to court; accuse; name;"
"158","adplicav","connect, place near, bring into contact; land (ship); adapt; apply/devote to;"
"159","adplicu","connect, place near, bring into contact; land (ship); adapt; apply/devote to;"
"160","adplorav","lament, weep at/on account of; deplore (thing);"
"161","adplumbav","solder, solder on, affix by soldering, close/seal by soldering/with solder;"
"162","adportav","carry/convey/bring (to); import; present (play); bring (news); make one's way;"
"163","adpostulav","beg/entreaty/solicit importunately/persistently/troublesomely/pressingly;"
"164","adprensav","snatch at;"
"165","adpretiav","value, set/estimate a price, appraise; purchase, buy; appropriate to one's self;"
"166","adprobav","approve, commend, endorse; prove; confirm; justify; allow; make good;"
"167","adpronav","lean forwards;"
"168","adproperav","hasten, hurry, come hastily, make haste; accelerate, speed up;"
"169","adpropinquav","approach (w/DAT or ad+ACC); come near to, draw near/nigh (space/time); be close;"
"170","adpropiav","approach (w/DAT or ad+ACC); come near to, draw near/nigh (space/time); be close;"
"171","adpropriav","appropriate, make one's own;"
"172","adproximav","be/draw/come close/near to, approach;"
"173","adpugnav","attack, assault;"
"174","adquietav","discharge (a debt);"
"175","adremigav","row up to/towards;"
"176","adrigav","water (plants), moisten the soil around;"
"177","adrogav","ask, question; arrogate to one's self, claim, make undue claim; confer (upon);"
"178","adrogav","|adopt (an adult) as one's son (esp. at his instance);"
"179","adrorav","moisten, bedew;"
"180","adservav","keep, guard, preserve; watch, observe; keep in custody; save life of, rescue;"
"181","adseverav","act earnestly; assert strongly/emphatically, declare; profess; be serious;"
"182","adsibilav","hiss out (breath) upon (w/DAT);"
"183","adsiccav","dry, dry out, dry up, make dry;"
"184","adsiduav","apply constantly; make constant use of (Souter); use regularly/incessantly;"
"185","adsignificav","show (w/ACC + INF), make evident; mean/denote (words);"
"186","adsignav","assign, distribute, allot; award, bestow (rank/honors); impute; affix seal;"
"187","adsimilav","make like; compare; counterfeit, simulate, imitate, pretend, feign, act a part;"
"188","adsimulav","make like; compare; counterfeit, simulate, imitate, pretend, feign, act a part;"
"189","adsociav","join (to), associate (with);"
"190","adsolav","level to the ground, destroy;"
"191","adsonav","respond, reply; sound in accompaniment; sing as an accompaniment;"
"192","adspectav","look/gaze at/upon; observe, watch; pay heed; face/look towards (place/person);"
"193","adspirav","breathe/blow (upon); aspirate; instill, infuse; be fragrant; influence; aspire;"
"194","adstipulav","join in stipulation/covenant; join in demanding; support (in an argument);"
"195","adstet","stand at/on/by/near; assist; stand up/upright/waiting/still/on one's feet;"
"196","adstit","stand at/on/by/near; assist; stand up/upright/waiting/still/on one's feet;"
"197","adstrangulav","strangle;"
"198","adsultav","jump/leap at/towards/upon; dash against; attack, assault, make an attack (on);"
"199","adsuspirav","sigh in response (to) (w/DAT);"
"200","adtemperav","fit, adjust;"
"201","adtemptav","attack, assail; call into question; try to seduce/use; make an attempt on, try;"
"202","adtentav","attack, assail; call into question; try to seduce/use; make an attempt on, try;"
"203","adtenuav","thin (out); weaken, lessen, diminish, shrink, reduce in size; make plain;"
"204","adterminav","set bounds to, measure, limit;"
"205","adtillav","tickle, please;"
"206","adtitulav","name, entitle;"
"207","adtolerav","support, sustain, bear;"
"208","adtonu","strike with lightning, blast; drive crazy, distract;"
"209","adtractav","touch; lay hands on; handle (roughly), assault (sexually), violate; deal with;"
"210","adtrectav","touch; lay hands on; handle (roughly), assault (sexually), violate; deal with;"
"211","adtrepidav","bestir oneself;"
"212","adtribulav","thresh, press hard;"
"213","adtumulav","heap up against; bank up (with something);"
"214","adulav","fawn upon (as a dog); flatter (in a servile manner), court; make obeisance (to);"
"215","adulterav","commit adultery, defile (w/adultery); falsify, counterfeit, debase, corrupt;"
"216","adumbrav","sketch out, silhouette, outline, represent; shade, screen, obscure; feign;"
"217","adunav","unite, make one;"
"218","advectav","import, bring (merchandise/goods) from abroad;"
"219","advelav","cover, veil;"
"220","adventav","approach, come to, draw near; arrive, ""turn up""; come in (tide); approximate;"
"221","adverberav","beat upon; strike against;"
"222","adversav","apply (the mind), direct (the attention);"
"223","advigilav","watch by/over; take care; be on watch, be vigilant;"
"224","advocav","call, summon, invite, convoke, call for; call in as counsel; invoke the Gods;"
"225","advolav","fly to, dash to (w/DAT or ad + ACC), hasten towards;"
"226","advorsav","apply (the mind), direct (the attention);"
"227","aedificav","build, erect, construct, make; create; establish; improve; edify;"
"228","aedituav","act as sacristan, be in charge/take care of temple;"
"229","aegrotav","be sick; be distressed/mentally/morally ill, be afflicted, languish, grieve;"
"230","aemulav","ape, imitate, emulate; be envious, jealous of, vie with a rival; copy (book);"
"231","aequidistav","be at equal distance;"
"232","aequilibrav","keep in a state of equilibrium/balance;"
"233","aequiparav","become/put on a equal/level with/to, rival, equal; equalize; compare, liken;"
"234","aequiperav","become/put on a equal/level with/to, rival, equal; equalize; compare, liken;"
"235","aequav","level, make even/straight; equal; compare; reach as high or deep as;"
"236","aeruginav","rust, become rusty; become cankered;"
"237","aestimav","value, assess; estimate; reckon; consider, judge (situation); esteem;"
"238","aestivav","spend/pass the summer;"
"239","aestumav","value, assess; estimate; reckon; consider, judge (situation); esteem;"
"240","aestuav","boil, seethe, foam; billow roll in waves; be agitated/hot; burn; waver;"
"241","aeternav","immortalize; confer undying fame on;"
"242","affectav","aim at, desire, aspire, try, lay claim to; try to control; feign, pretend;"
"243","affigurav","form (word) by analogy;"
"244","affirmav","affirm/assert (dogmatically/positively); confirm, ratify, restore; emphasize;"
"245","afflectav","affect, move, influence (to a course of action);"
"246","afflictav","shatter, damage, strike repeatedly, buffet, wreck; oppress, afflict; vex;"
"247","afflav","blow/breathe (on/towards); inspire, infuse; waft; graze; breathe poison on;"
"248","afformidav","be afraid, fear;"
"249","affricu","rub (one thing against another); apply/communicate/impart by rubbing, smear on;"
"250","affricu","rub (one thing against another); apply/communicate/impart by rubbing, smear on;"
"251","affriav","sprinkle (powder); crumble, grate;"
"252","agetav","stir/drive/shake/move about; revolve; live; control, ride; consider, pursue;"
"253","aggenerav","beget in addition;"
"254","aggerav","heap/fill up, bring, carry; increase, add fuel; push/crowd/press together;"
"255","agglomerav","gather into a body, mass together, join forces; pile up in masses; agglomerate;"
"256","agglutinav","glue/stick/adhere/fasten to/together; fit/grip on closely; bring in contact;"
"257","aggravav","aggravate, exaggerate; weigh down, oppress; make heavier; embarrass further;"
"258","aggregav","collect, include, group, implicate; (cause to) flock/join together, attach;"
"259","aggubernav","steer (one's course);"
"260","agitav","stir/drive/shake/move about; revolve; live; control, ride; consider, pursue;"
"261","agnominav","give/honor with a nickname/additional name denoting achievement/characteristic;"
"262","agoniav","struggle/fight (against); strive unto death (Vulgate Sirach 4:33);"
"263","agonizav","dispute; struggle/fight (against);"
"264","albicav","be white; have a whitish tinge, verge on white;"
"265","albav","make white;"
"266","alienav","alienate, give up, lose possession, transfer by sale, estrange; become numb;"
"267","allaborav","make a special effort; take trouble to;"
"268","allatrav","bark at; rail at; rage, roar (sea);"
"269","allaudav","praise, commend;"
"270","allavav","flow up to (water), wash;"
"271","allectav","entice, allure, encourage, invite;"
"272","allegav","depute/send as agent, commission; put up, suborn; urge/plea, lay before; allege;"
"273","allegorizav","allegorize, speak in allegories;"
"274","alleviav","lighten, make light; deal lightly/leniently with; raise up, relieve;"
"275","allevav","lift/raise/heap/pile up, exalt; alleviate/diminish/weaken; comfort/console/cheer"
"276","allevav","|smooth, smooth off, make smooth; polish; depilate;"
"277","alligav","bind/fetter (to); bandage; hinder, impede, detain; accuse; implicate/involve in;"
"278","allocav","stow; hire; let;"
"279","alludiav","play/frolic (with);"
"280","altercav","argue/bicker/dispute/wrangle/quarrel; dispute in court; exchange conversation;"
"281","alternav","do by turns, vary; alternate, waver, ebb and flow; bear/crop in alternate years;"
"282","altav","raise, make high, elevate;"
"283","alumnav","nurture, nourish; rear (children), educate; train (animals);"
"284","amandav","send away, dismiss, banish; regulate;"
"285","amaricav","make bitter; excite, irritate;"
"286","ambulav","walk, take a walk, go on foot; travel, march; go about, gad; parade, strut;"
"287","amentav","fit with a throwing strap; give impetus with a throwing strap; speed on;"
"288","amerciav","fine, penalize;"
"289","amigrav","go away, remove;"
"290","ammaturav","hasten (an occurrence); bring to maturity, mature, ripen;"
"291","ammentav","fit with a throwing strap; give impetus with a throwing strap; speed on;"
"292","ammeav","go to, approach;"
"293","ammigrav","go and live with; go to a place; come to; be added to;"
"294","amminiculav","prop (up), support (with props); support with authority; applied to adverb;"
"295","amministrav","administer, manage, direct; assist; operate, conduct; maneuver (ship); bestow;"
"296","ammurmurav","murmur in protest or approval; murmur at;"
"297","ammutilav","cut/clip close; shave; fleece, cheat, defraud;"
"298","amav","love, like; fall in love with; be fond of; have a tendency to;"
"299","amoenav","make pleasant (places); please, delight;"
"300","amplexav","take and hold in arms, embrace, clasp; welcome, accept gladly; cling/attach to;"
"301","amplificav","enlarge, extend, increase; develop; magnify, amplify; praise loudly, exalt;"
"302","ampliav","enlarge, augment, intensify, widen; ennoble, glorify; postpone, adjourn;"
"303","amplav","enlarge, extend, increase; develop; magnify, amplify; praise, exalt, glorify;"
"304","amptruav","execute a figure/movement (by leader of ceremonial dance);"
"305","amputav","lop/cut off, prune, shorten; amputate; eradicate, exclude, take away; castrate;"
"306","amtruav","dance around (at Salian religious festivals);"
"307","amussitav","make according to ruler/accurately/exactly/nicely;"
"308","amylav","mix with starch;"
"309","analyzav","analyze;"
"310","anathematizav","anathemize, put under ban; curse; detest;"
"311","anathemav","anathematize, anathemize, put under ban; curse; detest;"
"312","anclav","serve (wine); bring as a servant; have the care of (L+S);"
"313","anculav","serve (wine); bring as a servant; have the care of (L+S);"
"314","andruav","run back; (dance around at Salian religious festivals);"
"315","angariav","press, requisition, commandeer; exact villeinage; compel, constrain (eccl.);"
"316","angoriav","compel; force;"
"317","angulav","make angular/cornered;"
"318","angustiav","narrow, reduce width/size/amount, constrict, limit; choke, crowd together/hamper"
"319","angustav","narrow, reduce width/size/amount, constrict, limit; choke, crowd together/hamper"
"320","anhelav","pant, gasp; breathe/gasp out, belch forth, exhale; utter breathlessly;"
"321","anilitav","to produce the feebleness of old age in (female);"
"322","animav","animate, give/bring life; revive, refresh; rouse, animate; inspire; blow;"
"323","annatav","swim to/up to; swim beside/alongside;"
"324","annavigav","sail to/up to/towards; sail beside/alongside;"
"325","annegav","refuse; withhold;"
"326","annictav","wink to/at; blink at;"
"327","annihilav","annihilate, destroy, demolish, ruin, bring to nothing;"
"328","annav","swim to/towards, approach by swimming; sail to/towards; brought by sea (goods);"
"329","annav","pass/live through a year;"
"330","annodav","cut (shoot) right back, cut flush; cut off knots, cut away suckers;"
"331","annotav","note/jot down, notice, become aware; mark, annotate; record, state; designate;"
"332","annubilav","bring up clouds (against);"
"333","annullav","annihilate, obliterate, destroy; annul (eccl.);"
"334","annumerav","count (in/out), pay; reckon (time); enumerate, run through; classify as; add;"
"335","annuntiav","announce, say, make known; report, bring news; prophesy/announce before; preach;"
"336","annutav","nod (to); order/assent to by a nod; bow to;"
"337","antestet","surpass, excel, be superior to; stand before;"
"338","anteviav","go before, precede;"
"339","antevolav","fly in front of/before;"
"340","anticipav","occupy beforehand; anticipate, get the lead, get ahead of; have preconception;"
"341","antiquav","reject (bill); vote for the rejection;"
"342","antiset","stand before; surpass, excel, be superior to;"
"343","antistet","surpass, excel, be superior to; stand before;"
"344","antoav","requite;"
"345","antruav","dance around (at Salian religious festivals);"
"346","anxiav","make uneasy/anxious/nervous; worry;"
"347","apertav","bare, expose, lay bare;"
"348","apoculav","go away, remove oneself, leave;"
"349","apolactizav","kick away, spurn;"
"350","apologav","spurn, reject;"
"351","aporiav","be uncertain/in doubt, vacillate, waver, doubt, be perplexed/distressed/in need;"
"352","apostatav","fall away (from), apostatize, forsake one's religion;"
"353","apothecav","store, lay up in a storehouse;"
"354","apozymav","make ferment;"
"355","apparav","prepare, fit out, make ready, equip, provide; attempt; organize (project);"
"356","appectorav","press/clasp to the breast;"
"357","appellitav","call or name (frequently or habitually);"
"358","appellav","call (upon); address; dun; solicit; appeal (to); bring to court; accuse; name;"
"359","applicav","apply, put in practice;"
"360","applicav","connect, place near, bring into contact; land (ship); adapt; apply/devote to;"
"361","applicu","connect, place near, bring into contact; land (ship); adapt; apply/devote to;"
"362","applorav","lament, weep at/on account of; deplore (thing);"
"363","applumbav","solder, solder on, affix by soldering, close/seal by soldering/with solder;"
"364","apportav","carry/convey/bring (to); import; present (play); bring (news); make one's way;"
"365","appostulav","beg/entreaty/solicit importunately/persistently/troublesomely/pressingly;"
"366","appreciav","value/prize, set/estimate price, appraise; purchase/buy; appropriate to self;"
"367","apprensav","snatch at;"
"368","appretiav","value/prize, set/estimate price, appraise; purchase/buy; appropriate to self;"
"369","approbav","approve, commend, endorse; prove; confirm; justify; allow; make good;"
"370","appronav","lean forwards;"
"371","approperav","hasten, hurry, come hastily, make haste; accelerate, speed up;"
"372","appropinquav","approach (w/DAT or ad+ACC); come near to, draw near/nigh (space/time); be close;"
"373","appropiav","approach (w/DAT or ad+ACC); come near to, draw near/nigh (space/time); be close;"
"374","appropriav","appropriate, make one's own;"
"375","approximav","be/draw/come close/near to, approach;"
"376","appugnav","attack, assault;"
"377","apricav","tan;"
"378","apricav","warm in the sun;"
"379","apsentav","send away, cause one to be absent; be absent;"
"380","apsonav","have harsh/discordant/unpleasant sound;"
"381","apstet","stand at a distance, stand off; keep at a distance;"
"382","aptav","adapt, fit, apply, adjust, accommodate; put on, fasten; prepare, furnish;"
"383","aratrav","plow in (young grain to improve the yield), plow (after sowing);"
"384","arbitrav","think, judge; consider; be settled/decided on (PASS);"
"385","arbustav","plant (with trees), forest, reforest;"
"386","architectav","design (building), practice architecture;"
"387","arctav","wedge in, fit/close firmly; tighten/compress/abridge/contract; pack/limit/cramp;"
"388","arcuav","bend into the shape of a bow/arch;"
"389","argutav","babble, say childishly/foolishly;"
"390","arietav","butt like a ram, batter/buffet, harass; strike violently; collide; stumble/trip;"
"391","ariolav","divine; foretell, prophesy; use divination;"
"392","armav","equip, fit with armor; arm; strengthen; rouse, stir; incite war; rig (ship);"
"393","arav","plow, till, cultivate; produce by plowing, grow; furrow, wrinkle;"
"394","aromatizav","smell of spice; make aromatic/fragrant/sweet smelling (Ecc);"
"395","arramiav","arraign; indict, accuse;"
"396","arremigav","row up to/towards;"
"397","arrestav","arrest; seize;"
"398","arrigav","water (plants), moisten the soil around;"
"399","arrogav","ask, question; arrogate to one's self, claim, make undue claim; confer (upon);"
"400","arrogav","|adopt (an adult) as one's son (esp. at his instance);"
"401","arrorav","moisten, bedew;"
"402","articulav","divide into distinct parts, articulate;"
"403","artav","wedge in, fit/close firmly, tighten; compress, abridge; pack, limit, cramp;"
"404","artrav","plow (in young grain to improve the yield), plow (after sowing);"
"405","artrav","plow in young grain to improve the yield;"
"406","aspectav","look/gaze at/upon; observe, watch; pay heed; face/look towards (place/person);"
"407","asperav","roughen; sharpen, point, tip; enrage, make fierce/violent; grate on; aggravate;"
"408","aspirav","breathe/blow (upon); aspirate; instill, infuse; be fragrant; influence; aspire;"
"409","asportav","carry/take away, remove;"
"410","asservav","keep/guard/preserve; watch/observe; keep in custody; rescue/save life; reserve;"
"411","asseverav","act earnestly; assert strongly/emphatically, declare; profess; be serious;"
"412","assibilav","hiss out (breath) upon (w/DAT); murmur/whisper to/at (L+S);"
"413","assiccav","dry, dry out, dry up, make dry;"
"414","assiduav","apply constantly; make constant use of (Souter); use regularly/incessantly;"
"415","assignificav","show (w/ACC + INF), make evident; mean/denote (words);"
"416","assignav","assign, distribute, allot; award, bestow (rank/honors); impute; affix seal;"
"417","assimilav","make like; compare; counterfeit, simulate, imitate, pretend, feign, act a part;"
"418","assimulav","make like; compare; counterfeit, simulate, imitate, pretend, feign, act a part;"
"419","assav","roast, bake, broil; dry;"
"420","associav","join/attach (to), associate/work (with); unite with; attend upon; escort (Ecc);"
"421","assolav","level to the ground, destroy;"
"422","assonav","respond, reply; sound in accompaniment; sing as an accompaniment;"
"423","assultav","jump/leap at/towards/upon; dash against; attack, assault, make an attack (on);"
"424","assuspirav","sigh in response (to) (w/DAT);"
"425","astipulav","join in stipulation/covenant; join in demanding; support (in an argument);"
"426","astit","stand at/on/by; assist; stand up/upright/waiting/still, stand on one's feet;"
"427","astrangulav","strangle;"
"428","astrificav","make/produce stars;"
"429","ategrav","pour out wine in sacrifices;"
"430","atoptav","adopt, select, secure, pick out; wish/name for oneself; adopt legally;"
"431","attaminav","touch, attack, rob; dishonor, defile, contaminate;"
"432","attegrav","pour out wine in sacrifices;"
"433","attemperav","fit, adjust, accommodate;"
"434","attemptav","attack, assail; call into question; try to seduce/use; make an attempt on, try;"
"435","attentav","attack, assail; call into question; try to seduce/use; make an attempt on, try;"
"436","attenuav","thin (out); weaken, lessen, diminish, shrink, reduce in size; make plain;"
"437","atterminav","set bounds to, measure, limit;"
"438","atticissav","imitate the Attic/Athenian (elegant) manner of speaking;"
"439","attillav","tickle, please;"
"440","attitulav","name, entitle;"
"441","attolerav","support, sustain, bear;"
"442","attonu","strike with lightning, blast; drive crazy, distract;"
"443","attornav","attorn; attribute; ordain, decree; turn to;"
"444","attractav","touch; lay hands on; handle (roughly), assault (sexually), violate; deal with;"
"445","attrectav","touch; lay hands on; handle (roughly), assault (sexually), violate; deal with;"
"446","attrepidav","bestir oneself; hobble along;"
"447","attribulav","thresh, press hard;"
"448","attumulav","heap up against; bank up (with something);"
"449","auctificav","enlarge, increase; honor by offerings/sacrifices;"
"450","auctionav","buy goods at an auction/public sale; buy at auction;"
"451","auctitav","keep increasing/augmenting; honor by offerings (L+S);"
"452","auctav","increase/enlarge (much), grow; prosper/bless (with) (w/ABL);"
"453","auctorizav","authorize, authenticate; approve, confirm; bind one's self;"
"454","auctorav","bind/pledge/oblige/engage oneself, hire oneself out; purchase (w/sibi), secure;"
"455","auctumnav","bring autumnal conditions;"
"456","auditav","hear frequently;"
"457","augmentav","increase;"
"458","augurav","prophesy, predict, foretell; practice augury; make known intention to (w/INF);"
"459","augustav","glorify; render venerable;"
"460","aurigav","drive/race a chariot;"
"461","aurav","gild, overlay with gold;"
"462","aurorav","shine like the sunrise;"
"463","auruginav","have jaundice, be affected with jaundice;"
"464","auscultav","listen (to); overhear, listen secretly; heed, obey;"
"465","auspicav","take auspices; seek omens; begin with auspices, make ceremonial start; portend;"
"466","authenticav","verify, authenticate;"
